sigma_test,replica,v_score_standard,v_score_posenc
0.14384615384615385,5,0.0002303618427123844,0.00020285477052526355
0.14384615384615385,6,0.0001545669594459771,0.00022799865361800687
0.14384615384615385,7,0.0019420483207349742,0.002205461470398689
0.14384615384615385,8,0.00018760821865090342,0.00015715845125842135
0.14384615384615385,9,0.000366244869930929,0.0003510647641650642
0.1512820512820513,0,0.0005608892453730599,0.0005724865542048577
0.1512820512820513,1,0.0001264306067562263,0.00014841944977241157
0.1512820512820513,2,0.00020030366851626848,0.00025473712320863806
0.1512820512820513,3,0.0001131837421675108,9.15304186927395e-05
0.1512820512820513,4,0.0007930308266385408,0.0007308781372491966
0.1512820512820513,5,0.00011406971703727157,0.00015985933186353837
0.1512820512820513,6,0.00020131247030028,0.00021114241875678467
0.1512820512820513,7,0.0002240425492865483,0.00028229925697785974
0.1512820512820513,8,0.00024727175753491877,0.0002618778237924723
0.1512820512820513,9,8.144857303331725e-05,9.354842963136336e-05
0.15871794871794873,0,0.00010094675923954002,0.00010045326709196745
0.15871794871794873,1,0.0004732092876087717,0.0005779269175197963
0.15871794871794873,2,0.0007309690236935261,0.0009239682822029103
0.15871794871794873,3,0.0001356472821639401,0.00022661214129493634
0.15871794871794873,4,0.001014675248035979,0.00216463489940624
0.15871794871794873,5,0.00010696348722559076,0.00011352105183373003
0.15871794871794873,6,0.00016117352624913156,0.00015308489749780364
0.15871794871794873,7,0.0003173318811132372,0.0004696886236946759
0.15871794871794873,8,0.00010148888222900948,0.00014934537612387255
0.15871794871794873,9,0.00020288417493246857,0.00025893945809511617
0.16615384615384615,0,0.00010824238605585937,0.0001262600529785248
0.16615384615384615,1,7.756918884485034e-05,8.161046804567355e-05
0.16615384615384615,2,0.00019217283741664742,0.00025196995582597604
0.16615384615384615,3,6.667978177017497e-05,6.863077417723619e-05
0.16615384615384615,4,0.00022744998677848264,0.00026723322133924464
