sigma_test,replica,v_score_original,v_score_dual
0.21076923076923076,7,0.0005153003597438858,4.968111100005626e-05
0.21076923076923076,8,0.00011089819893591854,1.4720820673729538e-05
0.21076923076923076,9,0.000511871651084009,3.090416091905758e-05
0.21820512820512822,0,0.0005768612609340614,2.9966537981813175e-05
0.21820512820512822,1,0.000195887238787015,1.6874202735547427e-05
0.21820512820512822,2,0.00027486190600037124,3.654194829088165e-05
0.21820512820512822,3,0.00019351655358786448,1.9785488955841308e-05
0.21820512820512822,4,0.0004832973852810338,2.6408753395825474e-05
0.21820512820512822,5,0.0007889799281938484,3.687335291884716e-05
0.21820512820512822,6,0.00021531247219593513,2.250743889332799e-05
0.21820512820512822,7,0.0019843595209413593,2.8644674560984747e-05
0.21820512820512822,8,0.0003923224168105724,1.9277164741216246e-05
0.21820512820512822,9,0.0003604430428854204,1.918679282751441e-05
0.22564102564102564,0,0.00019791579007747277,1.8016671974583502e-05
0.22564102564102564,1,0.0002164795907312739,3.467550329380297e-05
0.22564102564102564,2,0.00013949200327482714,1.947574773087099e-05
0.22564102564102564,3,0.0005694941135127485,3.5328681495035884e-05
0.22564102564102564,4,0.0003700634598963653,2.2689408067308387e-05
0.22564102564102564,5,0.00016967378735667212,3.0429313926082625e-05
0.22564102564102564,6,0.0020604756706193456,7.134311065083229e-05
0.22564102564102564,7,0.0020339756190143362,5.060321896763259e-05
0.22564102564102564,8,0.00023464633259824802,2.5579397851464867e-05
0.22564102564102564,9,0.00022995859351319402,2.3135653267446656e-05
0.23307692307692307,0,0.0005017620820939535,3.69257905201057e-05
0.23307692307692307,1,0.0006224795745407345,3.838131166204992e-05
0.23307692307692307,2,0.00024728368516970504,2.999932739954817e-05
0.23307692307692307,3,0.00011900948938424972,1.537387538627725e-05
0.23307692307692307,4,0.0017361206999170493,8.494103700579567e-05
0.23307692307692307,5,0.0004940100454905797,3.955791814576422e-05
0.23307692307692307,6,0.00018959323070344197,4.362893625993241e-05
0.23307692307692307,7,0.0006620994763452455,3.78805338408963e-05
0.23307692307692307,8,0.0010504400024884503,2.841035415545292e-05
0.23307692307692307,9,0.00021806178163686146,2.100250529408021e-05
0.24051282051282052,0,0.0007575718434836863,3.417475601087235e-05
0.24051282051282052,1,0.0005339250416409457,2.8509607173991557e-05
0.24051282051282052,2,0.0008467561541779533,3.298298984680391e-05
0.24051282051282052,3,0.0007434677365604963,2.2290573952337075e-05
0.24051282051282052,4,0.0012025980144661189,3.782731684038116e-05
0.24051282051282052,5,0.0022859975229260285,3.6942755040185525e-05
0.24051282051282052,6,0.0005165285469370833,4.2685654296891124e-05
0.24051282051282052,7,0.0016380497948414764,2.9048768433623716e-05
0.24051282051282052,8,0.0006898214531388827,3.3040262683886486e-05
0.24051282051282052,9,0.002520874400340136,3.955830854778631e-05
0.24794871794871795,0,0.00022262244287030001,2.1517937116487326e-05
0.24794871794871795,1,0.007136813126533008,4.0648497403667504e-05
0.24794871794871795,2,0.00021778519519572264,3.512411804910433e-05
0.24794871794871795,3,0.00100681758067741,2.949316095454605e-05
0.24794871794871795,4,0.0005896984387941496,1.725836189728468e-05
0.24794871794871795,5,0.00031079340295352695,1.6966549721531543e-05
0.24794871794871795,6,0.0010001758163234386,3.176370717228646e-05
0.24794871794871795,7,0.00071899477847556,6.007946224383414e-05
0.24794871794871795,8,0.00021922018381388906,1.9786765298574668e-05
0.24794871794871795,9,0.0004876827549209087,2.6471818912116278e-05
0.2553846153846154,0,0.0022941477846448017,2.932551590009409e-05
0.2553846153846154,1,0.00030319225516804753,1.9409780997983435e-05
0.2553846153846154,2,0.0002633983822804304,2.7316490364896387e-05
0.2553846153846154,3,0.000329358368856094,2.0456336500131747e-05
0.2553846153846154,4,0.0006058839512675698,7.155487536706731e-05
0.2553846153846154,5,0.0001780066755073645,2.652848252623924e-05
0.2553846153846154,6,0.0011297384080942085,4.360850029707496e-05
0.2553846153846154,7,0.0008935974434007382,3.747944087971988e-05
0.2553846153846154,8,0.0017915991273617293,6.925889905814101e-05
0.2553846153846154,9,0.0009072728589052966,3.590518446422093e-05
