batch_config,sigma_test,replica,v_score
n=320,0.03974358974358974,2,2.7936203825194934e-05
n=320,0.03974358974358974,3,2.709091569051164e-05
n=320,0.03974358974358974,4,3.007519741992921e-05
n=320,0.03974358974358974,5,2.6885090874126493e-05
n=320,0.03974358974358974,6,2.649498449572007e-05
n=320,0.03974358974358974,7,2.704204887355533e-05
n=320,0.03974358974358974,8,2.7866395606581552e-05
n=320,0.03974358974358974,9,2.898129664755696e-05
n=320,0.04717948717948718,0,2.643216979130779e-05
n=320,0.04717948717948718,1,2.6679747374052213e-05
n=320,0.04717948717948718,2,2.7525018375328157e-05
n=320,0.04717948717948718,3,2.723794171866321e-05
n=320,0.04717948717948718,4,2.7824907883269282e-05
n=320,0.04717948717948718,5,2.8257326280955247e-05
n=320,0.04717948717948718,6,2.73561187301822e-05
n=320,0.04717948717948718,7,2.779017934319546e-05
n=320,0.04717948717948718,8,2.8926810101863016e-05
n=320,0.04717948717948718,9,2.7594594321239873e-05
n=320,0.054615384615384614,0,2.9030299966961143e-05
n=320,0.054615384615384614,1,2.8390098607700795e-05
n=320,0.054615384615384614,2,2.9938815398988856e-05
n=320,0.054615384615384614,3,2.778720544058404e-05
n=320,0.054615384615384614,4,2.871210988780113e-05
n=320,0.054615384615384614,5,2.7764594312911103e-05
n=320,0.054615384615384614,6,2.631014852001161e-05
n=320,0.054615384615384614,7,2.8139855580084915e-05
n=320,0.054615384615384614,8,2.7020519626095325e-05
n=320,0.054615384615384614,9,2.6228791969120635e-05
n=320,0.062051282051282054,0,3.151880380221646e-05
n=320,0.062051282051282054,1,2.9905748332355703e-05
n=320,0.062051282051282054,2,2.8710977836671495e-05
n=320,0.062051282051282054,3,2.572758142237185e-05
n=320,0.062051282051282054,4,2.8430957231505097e-05
n=320,0.062051282051282054,5,2.8526586612757326e-05
n=320,0.062051282051282054,6,2.813156886124518e-05
n=320,0.062051282051282054,7,2.8843239808999723e-05
n=320,0.062051282051282054,8,2.8996728622822394e-05
n=320,0.062051282051282054,9,2.9561042307982588e-05
n=320,0.06948717948717949,0,2.936852579860652e-05
n=320,0.06948717948717949,1,2.839867855200879e-05
n=320,0.06948717948717949,2,2.912929401203165e-05
n=320,0.06948717948717949,3,2.9385265378526094e-05
n=320,0.06948717948717949,4,3.0000419454884615e-05
n=320,0.06948717948717949,5,2.7581541576526872e-05
n=320,0.06948717948717949,6,2.8119801577769844e-05
n=320,0.06948717948717949,7,2.6726586989151423e-05
n=320,0.06948717948717949,8,3.087024187807148e-05
n=320,0.06948717948717949,9,3.458744716689419e-05
n=320,0.07692307692307691,0,3.08330037615119e-05
n=320,0.07692307692307691,1,2.7858900395206432e-05
n=320,0.07692307692307691,2,3.0579307692658536e-05
n=320,0.07692307692307691,3,2.928887220276444e-05
n=320,0.07692307692307691,4,2.803662370476858e-05
n=320,0.07692307692307691,5,3.0306601231567517e-05
n=320,0.07692307692307691,6,2.845891661095706e-05
n=320,0.07692307692307691,7,2.961618465961555e-05
n=320,0.07692307692307691,8,3.391878213302874e-05
n=320,0.07692307692307691,9,2.8681654493991127e-05
n=320,0.08435897435897435,0,3.3681415035273996e-05
n=320,0.08435897435897435,1,3.105763518751874e-05
n=320,0.08435897435897435,2,2.7649940810997798e-05
n=320,0.08435897435897435,3,3.404716684106975e-05
n=320,0.08435897435897435,4,3.313938267991388e-05
n=320,0.08435897435897435,5,3.0174072611315658e-05
n=320,0.08435897435897435,6,2.968854323219063e-05
n=320,0.08435897435897435,7,3.101721724541206e-05
n=320,0.08435897435897435,8,3.266818945820949e-05
n=320,0.08435897435897435,9,3.548873858141071e-05
n=320,0.0917948717948718,0,3.1352053993694106e-05
n=320,0.0917948717948718,1,2.9268841208405713e-05
n=320,0.0917948717948718,2,3.084008943346546e-05
n=320,0.0917948717948718,3,3.0251336811743093e-05
n=320,0.0917948717948718,4,3.204585674433899e-05
n=320,0.0917948717948718,5,3.608557860907008e-05
n=320,0.0917948717948718,6,3.410868239585245e-05
n=320,0.0917948717948718,7,3.3379897641910726e-05
n=320,0.0917948717948718,8,3.4099061388369424e-05
n=320,0.0917948717948718,9,3.342169167496259e-05
n=320,0.09923076923076922,0,3.597026486476789e-05
n=320,0.09923076923076922,1,2.9554269757071676e-05
n=320,0.09923076923076922,2,3.25172701987348e-05
n=320,0.09923076923076922,3,3.10910277786473e-05
n=320,0.09923076923076922,4,3.063410428109303e-05
n=320,0.09923076923076922,5,3.367385451389148e-05
n=320,0.09923076923076922,6,3.2657413402314574e-05
n=320,0.09923076923076922,7,3.384569352033126e-05
n=320,0.09923076923076922,8,3.198718257100137e-05
n=320,0.09923076923076922,9,3.136656633591157e-05
n=320,0.10666666666666666,0,3.154045823822507e-05
n=320,0.10666666666666666,1,3.421882185143164e-05
n=320,0.10666666666666666,2,3.3791483788881334e-05
n=320,0.10666666666666666,3,3.8590849224850666e-05
n=320,0.10666666666666666,4,3.234113472971182e-05
n=320,0.10666666666666666,5,3.695105361038792e-05
n=320,0.10666666666666666,6,3.315406333420665e-05
n=320,0.10666666666666666,7,3.76844321373427e-05
n=320,0.10666666666666666,8,3.323727925811884e-05
