patch_size_b,L_eff,sigma_test,replica,v_score
4,16,0.03974358974358974,1,3.6220327796302508e-06
4,16,0.03974358974358974,2,2.925279742360318e-06
4,16,0.03974358974358974,3,2.877723990538389e-06
4,16,0.03974358974358974,4,3.318139056679241e-06
4,16,0.03974358974358974,5,3.661411019045432e-06
4,16,0.03974358974358974,6,3.2861708585083557e-06
4,16,0.03974358974358974,7,3.3222887703653737e-06
4,16,0.03974358974358974,8,3.2225923360044516e-06
4,16,0.03974358974358974,9,3.922184628947916e-06
4,16,0.04717948717948718,0,3.751233341726255e-06
4,16,0.04717948717948718,1,3.338817628413106e-06
4,16,0.04717948717948718,2,3.2169681866423096e-06
4,16,0.04717948717948718,3,3.1436182562779526e-06
4,16,0.04717948717948718,4,3.596287086218942e-06
4,16,0.04717948717948718,5,4.518705513802672e-06
4,16,0.04717948717948718,6,3.6673152195242828e-06
4,16,0.04717948717948718,7,3.301034752478813e-06
4,16,0.04717948717948718,8,4.194132023288951e-06
4,16,0.04717948717948718,9,3.7337711774757074e-06
4,16,0.054615384615384614,0,3.988453709511359e-06
4,16,0.054615384615384614,1,3.604990722864679e-06
4,16,0.054615384615384614,2,3.729970351151344e-06
4,16,0.054615384615384614,3,3.6285513303791575e-06
4,16,0.054615384615384614,4,3.6889227729419036e-06
4,16,0.054615384615384614,5,4.100631441171648e-06
4,16,0.054615384615384614,6,4.271435981388122e-06
4,16,0.054615384615384614,7,4.971155837447981e-06
4,16,0.054615384615384614,8,3.7680444393314577e-06
4,16,0.054615384615384614,9,3.726247100180703e-06
4,16,0.062051282051282054,0,4.309759671537623e-06
4,16,0.062051282051282054,1,5.154393390591546e-06
4,16,0.062051282051282054,2,3.791944868661597e-06
4,16,0.062051282051282054,3,4.640112810468081e-06
4,16,0.062051282051282054,4,4.234555081953225e-06
4,16,0.062051282051282054,5,4.10624191409952e-06
4,16,0.062051282051282054,6,5.11373813454606e-06
4,16,0.062051282051282054,7,4.376535858627288e-06
4,16,0.062051282051282054,8,5.600648431695863e-06
4,16,0.062051282051282054,9,4.071576440907271e-06
4,16,0.06948717948717949,0,5.141453286111654e-06
4,16,0.06948717948717949,1,4.6439678697947525e-06
4,16,0.06948717948717949,2,4.914067407400891e-06
4,16,0.06948717948717949,3,3.776012652230715e-06
4,16,0.06948717948717949,4,6.01723424936157e-06
4,16,0.06948717948717949,5,7.3261121384154746e-06
4,16,0.06948717948717949,6,6.09928076659993e-06
4,16,0.06948717948717949,7,5.024840082643091e-06
4,16,0.06948717948717949,8,4.9116831834062146e-06
4,16,0.06948717948717949,9,4.8276809257229e-06
4,16,0.07692307692307691,0,6.333616640659887e-06
4,16,0.07692307692307691,1,5.603055021273266e-06
4,16,0.07692307692307691,2,5.745297913653497e-06
4,16,0.07692307692307691,3,5.56970901053074e-06
4,16,0.07692307692307691,4,5.856624497543565e-06
4,16,0.07692307692307691,5,6.627642234401109e-06
4,16,0.07692307692307691,6,5.070769696896943e-06
4,16,0.07692307692307691,7,5.777311448161849e-06
4,16,0.07692307692307691,8,5.79473959018214e-06
4,16,0.07692307692307691,9,5.5333405760235685e-06
4,16,0.08435897435897435,0,5.718583993628034e-06
4,16,0.08435897435897435,1,6.801876682704904e-06
4,16,0.08435897435897435,2,5.720746220662835e-06
4,16,0.08435897435897435,3,5.42318562775507e-06
4,16,0.08435897435897435,4,5.038786236034517e-06
4,16,0.08435897435897435,5,4.957607189982217e-06
4,16,0.08435897435897435,6,6.924348696401867e-06
4,16,0.08435897435897435,7,5.603237161637841e-06
4,16,0.08435897435897435,8,6.148281040993333e-06
4,16,0.08435897435897435,9,5.505434954293583e-06
4,16,0.0917948717948718,0,7.69700975489801e-06
4,16,0.0917948717948718,1,8.540468438024344e-06
4,16,0.0917948717948718,2,6.217472302645264e-06
4,16,0.0917948717948718,3,5.640237911202313e-06
4,16,0.0917948717948718,4,7.553679359510454e-06
4,16,0.0917948717948718,5,6.5462617835086715e-06
4,16,0.0917948717948718,6,6.3327929020894675e-06
4,16,0.0917948717948718,7,9.250956024010336e-06
4,16,0.0917948717948718,8,7.805756604522887e-06
4,16,0.0917948717948718,9,7.1536436233011456e-06
4,16,0.09923076923076922,0,1.09888210343456e-05
4,16,0.09923076923076922,1,9.464648651758616e-06
4,16,0.09923076923076922,2,9.639195412283703e-06
4,16,0.09923076923076922,3,8.191459389265559e-06
4,16,0.09923076923076922,4,1.1014700482927032e-05
4,16,0.09923076923076922,5,8.25564536775948e-06
4,16,0.09923076923076922,6,7.845228459697466e-06
4,16,0.09923076923076922,7,8.393800944997616e-06
4,16,0.09923076923076922,8,8.344839404203062e-06
