b,L_eff,sigma_test,replica,v_score
1,36,0.16615384615384615,5,0.00017812594787696621
1,36,0.16615384615384615,6,0.0001885674425478831
1,36,0.16615384615384615,7,0.00017343268733663572
1,36,0.16615384615384615,8,0.00016819448330191198
1,36,0.16615384615384615,9,0.00016345948078540186
1,36,0.1735897435897436,0,0.0001945880892351608
1,36,0.1735897435897436,1,0.00018990347169702885
1,36,0.1735897435897436,2,0.00019079987304069864
1,36,0.1735897435897436,3,0.00015479841030275658
1,36,0.1735897435897436,4,0.00018461387039820653
1,36,0.1735897435897436,5,0.00015848980103857384
1,36,0.1735897435897436,6,0.00019062879490739203
1,36,0.1735897435897436,7,0.0001925446836511521
1,36,0.1735897435897436,8,0.00022026375019037467
1,36,0.1735897435897436,9,0.00017684057122293746
1,36,0.18102564102564103,0,0.00020921207519924062
1,36,0.18102564102564103,1,0.00016385289666286562
1,36,0.18102564102564103,2,0.00016447036974877205
1,36,0.18102564102564103,3,0.00016781246675420951
1,36,0.18102564102564103,4,0.00016255324374016123
1,36,0.18102564102564103,5,0.00020538123782286462
1,36,0.18102564102564103,6,0.00022481229675673227
1,36,0.18102564102564103,7,0.00018368708085229676
1,36,0.18102564102564103,8,0.00017550864352608794
1,36,0.18102564102564103,9,0.0002139436404010103
1,36,0.18846153846153846,0,0.00019667623599798806
1,36,0.18846153846153846,1,0.000199578289617582
1,36,0.18846153846153846,2,0.00017115923337894705
1,36,0.18846153846153846,3,0.00018291975899160364
1,36,0.18846153846153846,4,0.00018018901867595583
1,36,0.18846153846153846,5,0.00019064049616981515
1,36,0.18846153846153846,6,0.00018952503235281117
1,36,0.18846153846153846,7,0.00020913532948368388
1,36,0.18846153846153846,8,0.0002786399324025427
1,36,0.18846153846153846,9,0.00020854414586356996
1,36,0.1958974358974359,0,0.0001880651554137752
1,36,0.1958974358974359,1,0.00018589048602765624
1,36,0.1958974358974359,2,0.00021155634183421304
1,36,0.1958974358974359,3,0.0002175973353315506
1,36,0.1958974358974359,4,0.00024732470991546083
1,36,0.1958974358974359,5,0.00018103540587486637
1,36,0.1958974358974359,6,0.0003101108658695758
1,36,0.1958974358974359,7,0.00023060158666962142
1,36,0.1958974358974359,8,0.0001626068457182931
1,36,0.1958974358974359,9,0.00019643984702773137
1,36,0.20333333333333334,0,0.00017155411598797568
1,36,0.20333333333333334,1,0.0002134936081161073
1,36,0.20333333333333334,2,0.00018145525117906856
1,36,0.20333333333333334,3,0.0002204326288681016
1,36,0.20333333333333334,4,0.0002144500915005246
1,36,0.20333333333333334,5,0.000198331860651571
1,36,0.20333333333333334,6,0.0001968352121778323
1,36,0.20333333333333334,7,0.00019041970940453638
1,36,0.20333333333333334,8,0.00020024194567802776
1,36,0.20333333333333334,9,0.00021554325727929897
1,36,0.21076923076923076,0,0.00023016467599225863
1,36,0.21076923076923076,1,0.0002479821193291081
1,36,0.21076923076923076,2,0.00020801294784190735
1,36,0.21076923076923076,3,0.00021052316041540297
1,36,0.21076923076923076,4,0.00021713353320595505
1,36,0.21076923076923076,5,0.0002257191111966712
1,36,0.21076923076923076,6,0.00022522135032595046
1,36,0.21076923076923076,7,0.0002153685639954842
1,36,0.21076923076923076,8,0.0002655204506435208
1,36,0.21076923076923076,9,0.00020502215037600843
1,36,0.21820512820512822,0,0.0003328388740192488
1,36,0.21820512820512822,1,0.00020834354428604356
1,36,0.21820512820512822,2,0.00019668842793511094
1,36,0.21820512820512822,3,0.00022973543569709473
1,36,0.21820512820512822,4,0.00030299019406171337
1,36,0.21820512820512822,5,0.00022710706583830293
1,36,0.21820512820512822,6,0.00018413659179684043
1,36,0.21820512820512822,7,0.00026863689274770334
1,36,0.21820512820512822,8,0.0002320997568353287
1,36,0.21820512820512822,9,0.0002283100951616585
1,36,0.22564102564102564,0,0.0002643591579285511
1,36,0.22564102564102564,1,0.0002127210364306332
1,36,0.22564102564102564,2,0.0002544017151545175
1,36,0.22564102564102564,3,0.00021052787977534314
1,36,0.22564102564102564,4,0.00041561095082457485
1,36,0.22564102564102564,5,0.0001888579396168575
1,36,0.22564102564102564,6,0.00022168522880774356
1,36,0.22564102564102564,7,0.0002934413271174793
