d_spin,d_coup,split,sigma_test,replica,v_score
4,12,4/12,0.03230769230769231,5,1.8084730910185844e-06
4,12,4/12,0.03230769230769231,6,2.1078472355740667e-06
4,12,4/12,0.03230769230769231,7,1.414948059912634e-06
4,12,4/12,0.03230769230769231,8,1.524259398457118e-06
4,12,4/12,0.03230769230769231,9,1.8935542704209297e-06
4,12,4/12,0.03974358974358974,0,2.074910203802982e-06
4,12,4/12,0.03974358974358974,1,2.205428198847451e-06
4,12,4/12,0.03974358974358974,2,1.3965760120979262e-06
4,12,4/12,0.03974358974358974,3,1.593175678293759e-06
4,12,4/12,0.03974358974358974,4,1.9809656189848746e-06
4,12,4/12,0.03974358974358974,5,1.9054710122169837e-06
4,12,4/12,0.03974358974358974,6,1.447182075571641e-06
4,12,4/12,0.03974358974358974,7,2.0301956001627622e-06
4,12,4/12,0.03974358974358974,8,1.5000078479772412e-06
4,12,4/12,0.03974358974358974,9,2.5643022584041144e-06
4,12,4/12,0.04717948717948718,0,2.5405075517820617e-06
4,12,4/12,0.04717948717948718,1,2.18626441170975e-06
4,12,4/12,0.04717948717948718,2,1.7835970621259274e-06
4,12,4/12,0.04717948717948718,3,2.2945354761225082e-06
4,12,4/12,0.04717948717948718,4,1.7787075172729499e-06
4,12,4/12,0.04717948717948718,5,1.8776819537791406e-06
4,12,4/12,0.04717948717948718,6,1.7321618080034073e-06
4,12,4/12,0.04717948717948718,7,2.0489382622972815e-06
4,12,4/12,0.04717948717948718,8,1.927720824785487e-06
4,12,4/12,0.04717948717948718,9,2.289859060607132e-06
4,12,4/12,0.054615384615384614,0,2.5130464681481447e-06
4,12,4/12,0.054615384615384614,1,2.230180314338969e-06
4,12,4/12,0.054615384615384614,2,3.7824157954229936e-06
4,12,4/12,0.054615384615384614,3,2.130433833805355e-06
4,12,4/12,0.054615384615384614,4,2.9801900624354766e-06
4,12,4/12,0.054615384615384614,5,1.976991594040909e-06
4,12,4/12,0.054615384615384614,6,2.7452016419581166e-06
4,12,4/12,0.054615384615384614,7,1.978304904856139e-06
4,12,4/12,0.054615384615384614,8,3.0756840993187017e-06
4,12,4/12,0.054615384615384614,9,1.7819620344475667e-06
4,12,4/12,0.062051282051282054,0,1.9259040553076064e-06
4,12,4/12,0.062051282051282054,1,2.1374639616930596e-06
4,12,4/12,0.062051282051282054,2,3.5550070856378213e-06
4,12,4/12,0.062051282051282054,3,3.478663688772295e-06
4,12,4/12,0.062051282051282054,4,3.3951339840547814e-06
4,12,4/12,0.062051282051282054,5,2.559314341293505e-06
4,12,4/12,0.062051282051282054,6,3.0469617626933395e-06
4,12,4/12,0.062051282051282054,7,1.8375736864280564e-06
4,12,4/12,0.062051282051282054,8,1.8960256194889978e-06
4,12,4/12,0.062051282051282054,9,4.025233145976891e-06
4,12,4/12,0.06948717948717949,0,2.8301725556358135e-06
4,12,4/12,0.06948717948717949,1,2.5183990408595176e-06
4,12,4/12,0.06948717948717949,2,2.755762214433064e-06
4,12,4/12,0.06948717948717949,3,2.959406331737536e-06
4,12,4/12,0.06948717948717949,4,3.6126029757974458e-06
4,12,4/12,0.06948717948717949,5,2.1901812746507045e-06
4,12,4/12,0.06948717948717949,6,3.668913823982238e-06
4,12,4/12,0.06948717948717949,7,3.848145527050773e-06
4,12,4/12,0.06948717948717949,8,2.6727661969242813e-06
4,12,4/12,0.06948717948717949,9,2.45356158295826e-06
4,12,4/12,0.07692307692307691,0,2.6580619520885358e-06
4,12,4/12,0.07692307692307691,1,5.73301277580196e-06
4,12,4/12,0.07692307692307691,2,3.948581152647432e-06
4,12,4/12,0.07692307692307691,3,3.0623955368146073e-06
4,12,4/12,0.07692307692307691,4,2.7180535697774995e-06
4,12,4/12,0.07692307692307691,5,2.5274248151287203e-06
4,12,4/12,0.07692307692307691,6,3.3877127766160195e-06
4,12,4/12,0.07692307692307691,7,3.1205336618625e-06
4,12,4/12,0.07692307692307691,8,3.90140102237253e-06
4,12,4/12,0.07692307692307691,9,4.459713581694196e-06
4,12,4/12,0.08435897435897435,0,1.3598590179131219e-05
4,12,4/12,0.08435897435897435,1,3.072996965597619e-06
4,12,4/12,0.08435897435897435,2,3.048733658297511e-06
4,12,4/12,0.08435897435897435,3,3.4392595551101183e-06
4,12,4/12,0.08435897435897435,4,3.224167937163979e-06
4,12,4/12,0.08435897435897435,5,3.7101051762392402e-06
4,12,4/12,0.08435897435897435,6,5.478120700712092e-06
4,12,4/12,0.08435897435897435,7,4.264323021654179e-06
4,12,4/12,0.08435897435897435,8,4.194010013874223e-06
4,12,4/12,0.08435897435897435,9,4.440227882518248e-06
4,12,4/12,0.0917948717948718,0,5.823244199918566e-06
4,12,4/12,0.0917948717948718,1,6.098909218690189e-06
4,12,4/12,0.0917948717948718,2,3.999047453680272e-06
4,12,4/12,0.0917948717948718,3,2.6472659000161407e-06
4,12,4/12,0.0917948717948718,4,4.6192089773115485e-06
4,12,4/12,0.0917948717948718,5,3.645447879126715e-06
4,12,4/12,0.0917948717948718,6,4.074360183908783e-06
