sigma_test,replica,v_score_dualembed,v_score_dualembed_film
0.12897435897435897,8,4.825909436389402e-06,1.188357345693107e-05
0.12897435897435897,9,2.5737435362552415e-06,3.4899336473951748e-06
0.13641025641025642,0,1.0746794509349606e-05,1.0952845367795239e-05
0.13641025641025642,1,3.382755006036063e-06,8.227754587986103e-06
0.13641025641025642,2,8.302489310294825e-06,9.187911617953192e-06
0.13641025641025642,3,4.342203554419932e-06,7.562367635075713e-06
0.13641025641025642,4,2.353552987282331e-06,4.487550619837579e-06
0.13641025641025642,5,5.760046238426326e-06,8.885540534675512e-06
0.13641025641025642,6,4.937595562803966e-06,5.419768908630665e-06
0.13641025641025642,7,5.596406793674211e-06,1.2548500196861313e-05
0.13641025641025642,8,7.785357070898403e-06,2.8540964537320864e-05
0.13641025641025642,9,4.712247659485683e-06,1.647843617074394e-05
0.14384615384615385,0,9.391433487758142e-06,1.3630198169081232e-05
0.14384615384615385,1,8.324058612094531e-06,1.4200629934369134e-05
0.14384615384615385,2,5.0013436601938844e-06,6.197812780998902e-06
0.14384615384615385,3,5.606422056927606e-06,9.760055632701687e-06
0.14384615384615385,4,4.714296995006972e-06,6.718130660146199e-06
0.14384615384615385,5,2.895820132716125e-06,4.803158007800151e-06
0.14384615384615385,6,9.863458701064322e-06,1.8751120487681813e-05
0.14384615384615385,7,7.212563671253986e-06,1.5236887407636531e-05
0.14384615384615385,8,4.7894014666413635e-06,9.40914436786921e-06
0.14384615384615385,9,8.768992726113458e-06,1.6357026070548182e-05
0.1512820512820513,0,3.128293448522142e-06,8.22539061444836e-06
0.1512820512820513,1,6.947031759594742e-06,1.5902440697516733e-05
0.1512820512820513,2,2.1868079851608855e-06,8.336933949523192e-06
0.1512820512820513,3,2.126723859618685e-06,5.274257400274829e-06
0.1512820512820513,4,1.0203333300156335e-05,2.575452391867924e-05
0.1512820512820513,5,6.867601467085889e-06,1.3870643205296395e-05
0.1512820512820513,6,7.159218269655091e-06,1.904458088672892e-05
0.1512820512820513,7,9.308971465904541e-06,1.7115235525842174e-05
0.1512820512820513,8,1.299482067020521e-05,2.8827440567769018e-05
0.1512820512820513,9,3.4212257232567024e-06,9.555541183360462e-06
0.15871794871794873,0,3.590571882982169e-06,5.8080931066308105e-06
0.15871794871794873,1,1.6706366605176784e-05,1.7053025081182354e-05
0.15871794871794873,2,1.0445200684303972e-05,1.8408225404064053e-05
0.15871794871794873,3,6.38462662469039e-06,1.0500151697101037e-05
0.15871794871794873,4,1.0839294211316025e-05,1.4233485484916243e-05
0.15871794871794873,5,2.59790574046887e-06,5.810702459949451e-06
0.15871794871794873,6,4.865099805804888e-06,1.143174875793926e-05
0.15871794871794873,7,4.301769225629843e-06,6.5533130398953485e-06
0.15871794871794873,8,3.6899595344314606e-06,6.344678781934803e-06
0.15871794871794873,9,1.3815644359657332e-05,1.5477782034900966e-05
0.16615384615384615,0,2.4093599863645868e-06,6.071853846275771e-06
0.16615384615384615,1,4.945528873957112e-06,9.308377617770376e-06
0.16615384615384615,2,5.0809198198291325e-06,9.31361193655775e-06
0.16615384615384615,3,3.4727803465955523e-06,7.130264909140025e-06
0.16615384615384615,4,6.774518312029459e-06,1.9993156757252937e-05
0.16615384615384615,5,1.01377426616369e-05,1.7045624053808795e-05
0.16615384615384615,6,2.0954866643636634e-06,6.445090167057119e-06
0.16615384615384615,7,9.45091103102455e-06,1.0677675403243486e-05
0.16615384615384615,8,5.598033689634159e-06,6.529222448134183e-06
0.16615384615384615,9,1.0972568692676417e-05,1.6513112653775186e-05
0.1735897435897436,0,2.6288710828168492e-05,6.736800704535797e-05
0.1735897435897436,1,3.7100066188073974e-06,1.1133376279519131e-05
0.1735897435897436,2,1.3003937590713278e-05,2.4226585915619338e-05
0.1735897435897436,3,6.94988845179245e-06,3.89798772747129e-05
0.1735897435897436,4,1.7714299751692868e-05,1.601894896729024e-05
0.1735897435897436,5,2.072112847337283e-05,3.070797040398707e-05
0.1735897435897436,6,8.86563433248534e-06,1.959310907475974e-05
0.1735897435897436,7,1.8090829799320312e-05,2.948823759035529e-05
0.1735897435897436,8,4.536161936514187e-06,1.027474343042821e-05
0.1735897435897436,9,9.30399456694898e-06,1.731201143187053e-05
0.18102564102564103,0,1.004128150173664e-05,1.098637474455028e-05
0.18102564102564103,1,1.326871358774265e-05,3.0081079420391828e-05
0.18102564102564103,2,1.9113836748614907e-05,2.4551701955494463e-05
0.18102564102564103,3,1.671883938102856e-05,3.517142158529637e-05
0.18102564102564103,4,1.4215402256227114e-05,1.5228096379775141e-05
0.18102564102564103,5,6.210278016099194e-06,1.0930269537291484e-05
0.18102564102564103,6,1.2011746032095831e-05,1.1835827303888664e-05
