sigma_test,replica,v_score_dualembed,v_score_dualembed_posenc
0.07692307692307691,3,1.0627719070646858e-05,1.9497782636442205e-05
0.07692307692307691,4,1.1061411109025033e-05,1.8626348684883058e-05
0.07692307692307691,5,9.69057972694947e-06,1.8866743638540403e-05
0.07692307692307691,6,1.0548926798832418e-05,1.7812462533896253e-05
0.07692307692307691,7,9.70603044141708e-06,1.8310266747490757e-05
0.07692307692307691,8,1.188591832183577e-05,2.157310559706637e-05
0.07692307692307691,9,1.0255204863734056e-05,1.7589127515114625e-05
0.08435897435897435,0,1.3056173739210976e-05,2.080111108673136e-05
0.08435897435897435,1,9.351478085650747e-06,1.7287768815347816e-05
0.08435897435897435,2,1.1947047579102416e-05,2.0051595538210314e-05
0.08435897435897435,3,1.5338091851146275e-05,2.1635834007283304e-05
0.08435897435897435,4,9.373273624492415e-06,1.743775124088173e-05
0.08435897435897435,5,9.83139136854962e-06,1.8068209786139507e-05
0.08435897435897435,6,1.0967620444381209e-05,2.091299939939217e-05
0.08435897435897435,7,1.148180990019711e-05,2.1420640430128788e-05
0.08435897435897435,8,9.39807582781149e-06,1.818016655179893e-05
0.08435897435897435,9,1.1266536364151754e-05,1.9853724514535756e-05
0.0917948717948718,0,1.1500544017718772e-05,2.0242793649562563e-05
0.0917948717948718,1,1.2077603320734788e-05,2.124465366675801e-05
0.0917948717948718,2,1.2095942368637433e-05,2.1241672835338753e-05
0.0917948717948718,3,9.427547506267277e-06,1.7486563461142126e-05
0.0917948717948718,4,1.077650893653649e-05,1.8802370718764674e-05
0.0917948717948718,5,1.0841285997115574e-05,2.0488025597241548e-05
0.0917948717948718,6,1.0517909726851714e-05,1.998950597590866e-05
0.0917948717948718,7,1.1921774230637789e-05,2.0019752000066505e-05
0.0917948717948718,8,9.615537871628932e-06,1.8644569679729828e-05
0.0917948717948718,9,1.212843302237305e-05,2.19314505702613e-05
0.09923076923076922,0,1.0559260352015835e-05,1.956939413053749e-05
0.09923076923076922,1,1.483334848018545e-05,2.5246031414972476e-05
0.09923076923076922,2,9.987582387305402e-06,1.9333877744652233e-05
0.09923076923076922,3,1.4479817331817178e-05,2.256763251960628e-05
0.09923076923076922,4,1.4100340851327676e-05,2.5564068547578988e-05
0.09923076923076922,5,1.1210961457348011e-05,2.183727859023356e-05
0.09923076923076922,6,1.4148828021155172e-05,2.2916999330576053e-05
0.09923076923076922,7,1.138736658787029e-05,2.01776182474144e-05
0.09923076923076922,8,1.2203760745032488e-05,2.34256304633641e-05
0.09923076923076922,9,1.0435532358161007e-05,2.019379791230328e-05
0.10666666666666666,0,1.2966829914401652e-05,2.118132736312196e-05
0.10666666666666666,1,1.2096277258747825e-05,2.4786649475685553e-05
0.10666666666666666,2,1.2836931692001493e-05,2.1784368942706447e-05
0.10666666666666666,3,1.2468654608754614e-05,2.2286826783209556e-05
0.10666666666666666,4,1.326046822268053e-05,2.3919665517114104e-05
0.10666666666666666,5,1.3238221707621572e-05,2.156767128029775e-05
0.10666666666666666,6,1.3441023384708079e-05,2.0755569806397047e-05
0.10666666666666666,7,1.8321402686316644e-05,3.16931628352367e-05
0.10666666666666666,8,1.124410004700704e-05,2.1058974242419523e-05
0.10666666666666666,9,1.4650525068471441e-05,2.60646939101981e-05
0.1141025641025641,0,1.2599759841071045e-05,2.1100315461711828e-05
0.1141025641025641,1,1.1925613385441286e-05,2.104872705475722e-05
0.1141025641025641,2,1.4425619423014219e-05,2.7052617029367048e-05
0.1141025641025641,3,1.257036189666028e-05,2.317941340944148e-05
0.1141025641025641,4,1.2870750285244635e-05,2.188832352130622e-05
0.1141025641025641,5,1.1621056643322617e-05,2.305787571218153e-05
0.1141025641025641,6,1.3790034147605191e-05,2.2784005977474857e-05
0.1141025641025641,7,1.3530107379729107e-05,2.8526773438300918e-05
0.1141025641025641,8,2.0543171082258792e-05,3.5454010000438665e-05
0.1141025641025641,9,1.2038115699389984e-05,2.2996327066478896e-05
0.12153846153846153,0,9.37532724589745e-06,1.8966884856120397e-05
0.12153846153846153,1,1.4935093797790939e-05,2.398009625929339e-05
0.12153846153846153,2,1.6914216080188055e-05,2.775674926424469e-05
